work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,remote_work_type,company_location,company_size,job_category,exchange_rate,salary_in_usd,experience_level_description,employment_type_description,country_name
2020,EN,FT,Data Scientist,55000.0,EUR,DE,50,Hybird,DE,S,Data Science,1.0093,54493.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,43200.0,EUR,DE,0,On-site only,DE,S,Data Science,0.876,49315.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,43200.0,EUR,DE,0,On-site only,DE,S,Data Science,0.845,51124.0,Entry-level,Full-time,Germany
2020,EN,FT,Data Scientist,43200.0,EUR,DE,0,On-site only,DE,S,Data Science,1.0093,42802.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,100,Fully remote,DE,S,Data Science,0.876,74201.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,100,Fully remote,DE,S,Data Science,0.845,76923.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,100,Fully remote,DE,S,Data Science,1.0093,64401.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,54000.0,EUR,DE,50,Hybird,DE,L,Data Science,0.876,61644.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,54000.0,EUR,DE,50,Hybird,DE,L,Data Science,0.845,63905.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,54000.0,EUR,DE,50,Hybird,DE,L,Data Science,1.0093,53502.0,Entry-level,Full-time,Germany
2021,EN,FT,Machine Learning Engineer,21000.0,EUR,DE,50,Hybird,DE,M,Machine Learning,0.876,23973.0,Entry-level,Full-time,Germany
2021,EN,FT,Machine Learning Engineer,21000.0,EUR,DE,50,Hybird,DE,M,Machine Learning,0.845,24852.0,Entry-level,Full-time,Germany
2021,EN,FT,Machine Learning Engineer,21000.0,EUR,DE,50,Hybird,DE,M,Machine Learning,1.0093,20806.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,0,On-site only,DE,L,Data Science,0.876,74201.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,0,On-site only,DE,L,Data Science,0.845,76923.0,Entry-level,Full-time,Germany
2021,EN,FT,Data Science Consultant,65000.0,EUR,DE,0,On-site only,DE,L,Data Science,1.0093,64401.0,Entry-level,Full-time,Germany
2022,EN,FT,Data Engineer,52800.0,EUR,PK,100,Fully remote,DE,M,Data Engineering,0.876,60274.0,Entry-level,Full-time,Germany
2022,EN,FT,Data Engineer,52800.0,EUR,PK,100,Fully remote,DE,M,Data Engineering,0.845,62485.0,Entry-level,Full-time,Germany
2022,EN,FT,Data Engineer,52800.0,EUR,PK,100,Fully remote,DE,M,Data Engineering,1.0093,52313.0,Entry-level,Full-time,Germany
2021,EN,FT,Machine Learning Engineer,85000.0,USD,NL,100,Fully remote,DE,S,Machine Learning,1.0,85000.0,Entry-level,Full-time,Germany
2020,SE,FT,Principal Data Scientist,130000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.876,148402.0,Senior-level (Intermediate),Full-time,Germany
2020,SE,FT,Principal Data Scientist,130000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.845,153846.0,Senior-level (Intermediate),Full-time,Germany
2020,SE,FT,Principal Data Scientist,130000.0,EUR,DE,100,Fully remote,DE,M,Data Science,1.0093,128802.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analytics Engineer,67000.0,EUR,DE,100,Fully remote,DE,L,Data Engineering,0.876,76484.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analytics Engineer,67000.0,EUR,DE,100,Fully remote,DE,L,Data Engineering,0.845,79290.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analytics Engineer,67000.0,EUR,DE,100,Fully remote,DE,L,Data Engineering,1.0093,66383.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Machine Learning Engineer,80000.0,EUR,DE,50,Hybird,DE,L,Machine Learning,0.876,91324.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Machine Learning Engineer,80000.0,EUR,DE,50,Hybird,DE,L,Machine Learning,0.845,94675.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Machine Learning Engineer,80000.0,EUR,DE,50,Hybird,DE,L,Machine Learning,1.0093,79263.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Principal Data Scientist,147000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.876,167808.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Principal Data Scientist,147000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.845,173964.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Principal Data Scientist,147000.0,EUR,DE,100,Fully remote,DE,M,Data Science,1.0093,145645.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analyst,54000.0,EUR,DE,50,Hybird,DE,L,Data Analyst,0.876,61644.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analyst,54000.0,EUR,DE,50,Hybird,DE,L,Data Analyst,0.845,63905.0,Senior-level (Intermediate),Full-time,Germany
2021,SE,FT,Data Analyst,54000.0,EUR,DE,50,Hybird,DE,L,Data Analyst,1.0093,53502.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Lead Machine Learning Engineer,80000.0,EUR,DE,0,On-site only,DE,M,Machine Learning,0.876,91324.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Lead Machine Learning Engineer,80000.0,EUR,DE,0,On-site only,DE,M,Machine Learning,0.845,94675.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Lead Machine Learning Engineer,80000.0,EUR,DE,0,On-site only,DE,M,Machine Learning,1.0093,79263.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Principal Data Scientist,148000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.876,168950.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Principal Data Scientist,148000.0,EUR,DE,100,Fully remote,DE,M,Data Science,0.845,175148.0,Senior-level (Intermediate),Full-time,Germany
2022,SE,FT,Principal Data Scientist,148000.0,EUR,DE,100,Fully remote,DE,M,Data Science,1.0093,146636.0,Senior-level (Intermediate),Full-time,Germany
2021,EX,FT,Director of Data Science,110000.0,EUR,DE,50,Hybird,DE,M,Leadership (DS),0.876,125571.0,Executive-level / Director (Expert),Full-time,Germany
2021,EX,FT,Director of Data Science,110000.0,EUR,DE,50,Hybird,DE,M,Leadership (DS),0.845,130178.0,Executive-level / Director (Expert),Full-time,Germany
2021,EX,FT,Director of Data Science,110000.0,EUR,DE,50,Hybird,DE,M,Leadership (DS),1.0093,108986.0,Executive-level / Director (Expert),Full-time,Germany
2021,EX,FT,Director of Data Science,120000.0,EUR,DE,0,On-site only,DE,L,Leadership (DS),0.876,136986.0,Executive-level / Director (Expert),Full-time,Germany
2021,EX,FT,Director of Data Science,120000.0,EUR,DE,0,On-site only,DE,L,Leadership (DS),0.845,142012.0,Executive-level / Director (Expert),Full-time,Germany
2021,EX,FT,Director of Data Science,120000.0,EUR,DE,0,On-site only,DE,L,Leadership (DS),1.0093,118894.0,Executive-level / Director (Expert),Full-time,Germany
2022,MI,PT,Data Engineer,50000.0,EUR,DE,50,Hybird,DE,L,Data Engineering,0.876,57078.0,Mid-level (Junior),Part-time,Germany
2022,MI,PT,Data Engineer,50000.0,EUR,DE,50,Hybird,DE,L,Data Engineering,0.845,59172.0,Mid-level (Junior),Part-time,Germany
2022,MI,PT,Data Engineer,50000.0,EUR,DE,50,Hybird,DE,L,Data Engineering,1.0093,49539.0,Mid-level (Junior),Part-time,Germany
2020,EN,PT,ML Engineer,14000.0,EUR,DE,100,Fully remote,DE,S,Machine Learning,0.876,15982.0,Entry-level,Part-time,Germany
2020,EN,PT,ML Engineer,14000.0,EUR,DE,100,Fully remote,DE,S,Machine Learning,0.845,16568.0,Entry-level,Part-time,Germany
2020,EN,PT,ML Engineer,14000.0,EUR,DE,100,Fully remote,DE,S,Machine Learning,1.0093,13871.0,Entry-level,Part-time,Germany
2020,MI,FT,Data Analyst,41000.0,EUR,FR,50,Hybird,FR,L,Data Analyst,0.876,46804.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Analyst,41000.0,EUR,FR,50,Hybird,FR,L,Data Analyst,0.845,48521.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Analyst,41000.0,EUR,FR,50,Hybird,FR,L,Data Analyst,1.0093,40622.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Engineer,61500.0,EUR,FR,50,Hybird,FR,L,Data Engineering,0.876,70205.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Engineer,61500.0,EUR,FR,50,Hybird,FR,L,Data Engineering,0.845,72781.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Engineer,61500.0,EUR,FR,50,Hybird,FR,L,Data Engineering,1.0093,60933.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Scientist,37000.0,EUR,FR,50,Hybird,FR,S,Data Science,0.876,42237.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Scientist,37000.0,EUR,FR,50,Hybird,FR,S,Data Science,0.845,43787.0,Mid-level (Junior),Full-time,France
2020,MI,FT,Data Scientist,37000.0,EUR,FR,50,Hybird,FR,S,Data Science,1.0093,36659.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,53000.0,EUR,FR,50,Hybird,FR,M,Research,0.876,60502.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,53000.0,EUR,FR,50,Hybird,FR,M,Research,0.845,62722.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,53000.0,EUR,FR,50,Hybird,FR,M,Research,1.0093,52512.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,48000.0,EUR,FR,50,Hybird,FR,S,Research,0.876,54795.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,48000.0,EUR,FR,50,Hybird,FR,S,Research,0.845,56805.0,Mid-level (Junior),Full-time,France
2021,MI,FT,Research Scientist,48000.0,EUR,FR,50,Hybird,FR,S,Research,1.0093,47558.0,Mid-level (Junior),Full-time,France
2022,MI,FT,Data Engineer,62000.0,EUR,FR,100,Fully remote,FR,M,Data Engineering,0.876,70776.0,Mid-level (Junior),Full-time,France
2022,MI,FT,Data Engineer,62000.0,EUR,FR,100,Fully remote,FR,M,Data Engineering,0.845,73373.0,Mid-level (Junior),Full-time,France
2022,MI,FT,Data Engineer,62000.0,EUR,FR,100,Fully remote,FR,M,Data Engineering,1.0093,61429.0,Mid-level (Junior),Full-time,France
2020,EN,FT,Data Scientist,45000.0,EUR,FR,0,On-site only,FR,S,Data Science,0.876,51370.0,Entry-level,Full-time,France
2020,EN,FT,Data Scientist,45000.0,EUR,FR,0,On-site only,FR,S,Data Science,0.845,53254.0,Entry-level,Full-time,France
2020,EN,FT,Data Scientist,45000.0,EUR,FR,0,On-site only,FR,S,Data Science,1.0093,44585.0,Entry-level,Full-time,France
2020,EN,FT,Data Scientist,35000.0,EUR,FR,0,On-site only,FR,M,Data Science,0.876,39954.0,Entry-level,Full-time,France
2020,EN,FT,Data Scientist,35000.0,EUR,FR,0,On-site only,FR,M,Data Science,0.845,41420.0,Entry-level,Full-time,France
2020,EN,FT,Data Scientist,35000.0,EUR,FR,0,On-site only,FR,M,Data Science,1.0093,34677.0,Entry-level,Full-time,France
2021,EN,FT,Data Analyst,50000.0,EUR,FR,50,Hybird,FR,M,Data Analyst,0.876,57078.0,Entry-level,Full-time,France
2021,EN,FT,Data Analyst,50000.0,EUR,FR,50,Hybird,FR,M,Data Analyst,0.845,59172.0,Entry-level,Full-time,France
2021,EN,FT,Data Analyst,50000.0,EUR,FR,50,Hybird,FR,M,Data Analyst,1.0093,49539.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,42000.0,EUR,FR,50,Hybird,FR,M,Data Science,0.876,47945.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,42000.0,EUR,FR,50,Hybird,FR,M,Data Science,0.845,49704.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,42000.0,EUR,FR,50,Hybird,FR,M,Data Science,1.0093,41613.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,31000.0,EUR,FR,50,Hybird,FR,L,Data Science,0.876,35388.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,31000.0,EUR,FR,50,Hybird,FR,L,Data Science,0.845,36686.0,Entry-level,Full-time,France
2021,EN,FT,Data Scientist,31000.0,EUR,FR,50,Hybird,FR,L,Data Science,1.0093,30714.0,Entry-level,Full-time,France
2021,SE,FT,Data Scientist,45000.0,EUR,FR,50,Hybird,FR,L,Data Science,0.876,51370.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,45000.0,EUR,FR,50,Hybird,FR,L,Data Science,0.845,53254.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,45000.0,EUR,FR,50,Hybird,FR,L,Data Science,1.0093,44585.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,65720.0,EUR,FR,50,Hybird,FR,M,Data Science,0.876,75023.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,65720.0,EUR,FR,50,Hybird,FR,M,Data Science,0.845,77775.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Scientist,65720.0,EUR,FR,50,Hybird,FR,M,Data Science,1.0093,65114.0,Senior-level (Intermediate),Full-time,France
2022,SE,FT,Research Scientist,85000.0,EUR,FR,50,Hybird,FR,L,Research,0.876,97032.0,Senior-level (Intermediate),Full-time,France
2022,SE,FT,Research Scientist,85000.0,EUR,FR,50,Hybird,FR,L,Research,0.845,100592.0,Senior-level (Intermediate),Full-time,France
2022,SE,FT,Research Scientist,85000.0,EUR,FR,50,Hybird,FR,L,Research,1.0093,84217.0,Senior-level (Intermediate),Full-time,France
2021,SE,FT,Data Science Manager,152000.0,USD,US,100,Fully remote,FR,L,Leadership (DS),1.0,152000.0,Senior-level (Intermediate),Full-time,France
2020,MI,FT,Data Engineer,65000.0,EUR,AT,50,Hybird,AT,L,Data Engineering,0.876,74201.0,Mid-level (Junior),Full-time,Austria
2020,MI,FT,Data Engineer,65000.0,EUR,AT,50,Hybird,AT,L,Data Engineering,0.845,76923.0,Mid-level (Junior),Full-time,Austria
2020,MI,FT,Data Engineer,65000.0,EUR,AT,50,Hybird,AT,L,Data Engineering,1.0093,64401.0,Mid-level (Junior),Full-time,Austria
2021,MI,FT,Data Scientist,52000.0,EUR,DE,50,Hybird,AT,M,Data Science,0.876,59361.0,Mid-level (Junior),Full-time,Austria
2021,MI,FT,Data Scientist,52000.0,EUR,DE,50,Hybird,AT,M,Data Science,0.845,61538.0,Mid-level (Junior),Full-time,Austria
2021,MI,FT,Data Scientist,52000.0,EUR,DE,50,Hybird,AT,M,Data Science,1.0093,51521.0,Mid-level (Junior),Full-time,Austria
2022,MI,FT,Research Scientist,59000.0,EUR,AT,0,On-site only,AT,L,Research,0.876,67352.0,Mid-level (Junior),Full-time,Austria
2022,MI,FT,Research Scientist,59000.0,EUR,AT,0,On-site only,AT,L,Research,0.845,69822.0,Mid-level (Junior),Full-time,Austria
2022,MI,FT,Research Scientist,59000.0,EUR,AT,0,On-site only,AT,L,Research,1.0093,58456.0,Mid-level (Junior),Full-time,Austria
2020,SE,FT,Data Scientist,80000.0,EUR,AT,0,On-site only,AT,S,Data Science,0.876,91324.0,Senior-level (Intermediate),Full-time,Austria
2020,SE,FT,Data Scientist,80000.0,EUR,AT,0,On-site only,AT,S,Data Science,0.845,94675.0,Senior-level (Intermediate),Full-time,Austria
2020,SE,FT,Data Scientist,80000.0,EUR,AT,0,On-site only,AT,S,Data Science,1.0093,79263.0,Senior-level (Intermediate),Full-time,Austria
2020,MI,FT,Machine Learning Infrastructure Engineer,44000.0,EUR,PT,0,On-site only,PT,M,Machine Learning,0.876,50228.0,Mid-level (Junior),Full-time,Portugal
2020,MI,FT,Machine Learning Infrastructure Engineer,44000.0,EUR,PT,0,On-site only,PT,M,Machine Learning,0.845,52071.0,Mid-level (Junior),Full-time,Portugal
2020,MI,FT,Machine Learning Infrastructure Engineer,44000.0,EUR,PT,0,On-site only,PT,M,Machine Learning,1.0093,43595.0,Mid-level (Junior),Full-time,Portugal
2022,MI,FT,Machine Learning Infrastructure Engineer,53000.0,EUR,PT,50,Hybird,PT,L,Machine Learning,0.876,60502.0,Mid-level (Junior),Full-time,Portugal
2022,MI,FT,Machine Learning Infrastructure Engineer,53000.0,EUR,PT,50,Hybird,PT,L,Machine Learning,0.845,62722.0,Mid-level (Junior),Full-time,Portugal
2022,MI,FT,Machine Learning Infrastructure Engineer,53000.0,EUR,PT,50,Hybird,PT,L,Machine Learning,1.0093,52512.0,Mid-level (Junior),Full-time,Portugal
2022,EN,FT,ML Engineer,20000.0,EUR,PT,100,Fully remote,PT,L,Machine Learning,0.876,22831.0,Entry-level,Full-time,Portugal
2022,EN,FT,ML Engineer,20000.0,EUR,PT,100,Fully remote,PT,L,Machine Learning,0.845,23669.0,Entry-level,Full-time,Portugal
2022,EN,FT,ML Engineer,20000.0,EUR,PT,100,Fully remote,PT,L,Machine Learning,1.0093,19816.0,Entry-level,Full-time,Portugal
2021,SE,FT,Research Scientist,51400.0,EUR,PT,50,Hybird,PT,L,Research,0.876,58676.0,Senior-level (Intermediate),Full-time,Portugal
2021,SE,FT,Research Scientist,51400.0,EUR,PT,50,Hybird,PT,L,Research,0.845,60828.0,Senior-level (Intermediate),Full-time,Portugal
2021,SE,FT,Research Scientist,51400.0,EUR,PT,50,Hybird,PT,L,Research,1.0093,50926.0,Senior-level (Intermediate),Full-time,Portugal
2020,MI,FT,Data Scientist,34000.0,EUR,ES,100,Fully remote,ES,M,Data Science,0.876,38813.0,Mid-level (Junior),Full-time,Spain
2020,MI,FT,Data Scientist,34000.0,EUR,ES,100,Fully remote,ES,M,Data Science,0.845,40237.0,Mid-level (Junior),Full-time,Spain
2020,MI,FT,Data Scientist,34000.0,EUR,ES,100,Fully remote,ES,M,Data Science,1.0093,33687.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Machine Learning Engineer,40000.0,EUR,ES,100,Fully remote,ES,S,Machine Learning,0.876,45662.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Machine Learning Engineer,40000.0,EUR,ES,100,Fully remote,ES,S,Machine Learning,0.845,47337.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Machine Learning Engineer,40000.0,EUR,ES,100,Fully remote,ES,S,Machine Learning,1.0093,39631.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,32000.0,EUR,ES,100,Fully remote,ES,L,Data Science,0.876,36530.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,32000.0,EUR,ES,100,Fully remote,ES,L,Data Science,0.845,37870.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,32000.0,EUR,ES,100,Fully remote,ES,L,Data Science,1.0093,31705.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,39600.0,EUR,ES,100,Fully remote,ES,M,Data Science,0.876,45205.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,39600.0,EUR,ES,100,Fully remote,ES,M,Data Science,0.845,46864.0,Mid-level (Junior),Full-time,Spain
2021,MI,FT,Data Scientist,39600.0,EUR,ES,100,Fully remote,ES,M,Data Science,1.0093,39235.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,45000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.876,51370.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,45000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.845,53254.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,45000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,44585.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Analyst,30000.0,EUR,ES,100,Fully remote,ES,M,Data Analyst,0.876,34247.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Analyst,30000.0,EUR,ES,100,Fully remote,ES,M,Data Analyst,0.845,35503.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Analyst,30000.0,EUR,ES,100,Fully remote,ES,M,Data Analyst,1.0093,29724.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,80000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.876,91324.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,80000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.845,94675.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,80000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,79263.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,70000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.876,79909.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,70000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.845,82840.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,70000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,69355.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,60000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.876,68493.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,60000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,0.845,71006.0,Mid-level (Junior),Full-time,Spain
2022,MI,FT,Data Engineer,60000.0,EUR,ES,100,Fully remote,ES,M,Data Engineering,1.0093,59447.0,Mid-level (Junior),Full-time,Spain
2021,SE,FT,AI Scientist,55000.0,USD,ES,100,Fully remote,ES,L,Artificial Intelligence,1.0,55000.0,Senior-level (Intermediate),Full-time,Spain
2020,EX,FT,Data Engineering Manager,70000.0,EUR,ES,50,Hybird,ES,L,Leadership (DE),0.876,79909.0,Executive-level / Director (Expert),Full-time,Spain
2020,EX,FT,Data Engineering Manager,70000.0,EUR,ES,50,Hybird,ES,L,Leadership (DE),0.845,82840.0,Executive-level / Director (Expert),Full-time,Spain
2020,EX,FT,Data Engineering Manager,70000.0,EUR,ES,50,Hybird,ES,L,Leadership (DE),1.0093,69355.0,Executive-level / Director (Expert),Full-time,Spain
2021,EX,FT,Data Science Consultant,59000.0,EUR,FR,100,Fully remote,ES,S,Data Science,0.876,67352.0,Executive-level / Director (Expert),Full-time,Spain
2021,EX,FT,Data Science Consultant,59000.0,EUR,FR,100,Fully remote,ES,S,Data Science,0.845,69822.0,Executive-level / Director (Expert),Full-time,Spain
2021,EX,FT,Data Science Consultant,59000.0,EUR,FR,100,Fully remote,ES,S,Data Science,1.0093,58456.0,Executive-level / Director (Expert),Full-time,Spain
2021,EN,PT,Data Analyst,8760.0,EUR,ES,50,Hybird,ES,M,Data Analyst,0.876,10000.0,Entry-level,Part-time,Spain
2021,EN,PT,Data Analyst,8760.0,EUR,ES,50,Hybird,ES,M,Data Analyst,0.845,10367.0,Entry-level,Part-time,Spain
2021,EN,PT,Data Analyst,8760.0,EUR,ES,50,Hybird,ES,M,Data Analyst,1.0093,8679.0,Entry-level,Part-time,Spain
2020,MI,FT,Data Scientist,55000.0,EUR,FR,50,Hybird,LU,S,Data Science,0.876,62785.0,Mid-level (Junior),Full-time,Luxembourg
2020,MI,FT,Data Scientist,55000.0,EUR,FR,50,Hybird,LU,S,Data Science,0.845,65089.0,Mid-level (Junior),Full-time,Luxembourg
2020,MI,FT,Data Scientist,55000.0,EUR,FR,50,Hybird,LU,S,Data Science,1.0093,54493.0,Mid-level (Junior),Full-time,Luxembourg
2021,EN,FT,Business Data Analyst,50000.0,EUR,LU,100,Fully remote,LU,L,Data Analyst,0.876,57078.0,Entry-level,Full-time,Luxembourg
